name,epidCode,growthRate,region,archived,externalID,uuid
LK Konstanz,KN,0,Baden-Württemberg,0,11008335,4793c0c1-41b4-5078-9f9e-e393a41d8bf7
LK Lörrach,LÖ,0,Baden-Württemberg,0,11008336,707e368a-22ec-5fd6-a847-1eeee17cb308
LK Waldshut,WT,0,Baden-Württemberg,0,11008337,bdc3dafd-f711-5df3-9151-f4c41dacb953
LK Reutlingen,RT,0,Baden-Württemberg,0,11008415,1902b6a0-7d9a-5b5c-9e38-445a8d8b3794
LK Tübingen,TÜ,0,Baden-Württemberg,0,11008416,68a6db32-a1a7-5553-bff0-b2c3c365f98d
LK Zollernalbkreis,BL,0,Baden-Württemberg,0,11008417,51bddcba-27e7-5dfd-966c-a7f8140fb755
SK Ulm,UL,0,Baden-Württemberg,0,11008421,1dfbe161-50d1-5b24-b6b6-364ea3fd2245
LK Alb-Donau-Kreis,UL,0,Baden-Württemberg,0,11008425,af1a0cdd-531f-5c67-a4f2-ca6997b821d6
LK Biberach,BC,0,Baden-Württemberg,0,11008426,9c8d2924-21d3-5674-924d-96bcfe0c9acc
LK Bodenseekreis,FN,0,Baden-Württemberg,0,11008435,0eb918b8-a82d-5131-8fd4-f7b49d45c335
LK Ravensburg,RV,0,Baden-Württemberg,0,11008436,1ec43599-112d-512a-8d3a-e803040cf0d5
LK Sigmaringen,SIG,0,Baden-Württemberg,0,11008437,c0d32684-5f4e-54d9-aca4-6d0c9acf2c9b
SK Ingolstadt,IN,0,Bayern,0,11009161,fdbc29f5-c3b6-5ada-a38f-0e52bd970768
SK München,M,0,Bayern,0,11009162,73484a1a-9b5d-571d-b1a5-d278fc6690fd
SK Rosenheim,RO,0,Bayern,0,11009163,30f0d753-4831-5caa-92b2-6754d9d4d60a
LK Altötting,AÖ,0,Bayern,0,11009171,a96dfee5-e967-5472-a384-f931184814c4
LK Berchtesgadener Land,REI,0,Bayern,0,11009172,ebe8add9-58aa-5c43-a804-2e013f5725c1
LK Bad Tölz-Wolfratshausen,TÖL,0,Bayern,0,11009173,2838f4b8-a320-5a5a-a821-02071b7b27dc
LK Dachau,DAH,0,Bayern,0,11009174,6c54da40-0a0e-58ac-9590-49f6ebe63773
LK Ebersberg,EBE,0,Bayern,0,11009175,b02372f2-7288-5c68-9894-bacf56840569
LK Eichstätt,EIH,0,Bayern,0,11009176,5b00be7e-1dbd-5b52-9a26-4665f54f6e66
LK Erding,ED,0,Bayern,0,11009177,d449d532-7ee7-5d88-8789-602df7f71239
LK Freising,FS,0,Bayern,0,11009178,10a4f630-7855-5908-a248-7dc7d516d900
